CMS Certification Number (CCN),Provider Name,Address Line 1,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range,LOCATION1
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_005_02_DTC_NUMBER,26,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_005_02_DTC_OBS_RATE,41.94,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_005_02_DTC_RS_RATE,46.39,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_005_02_DTC_RS_RATE_2_5,34.33,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_005_02_DTC_RS_RATE_97_5,58.02,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_005_02_DTC_VOLUME,62,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_006_01_MSPB_NUMB,80,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_006_01_MSPB_SCORE,0.92,-,10/01/2020,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_007_02_DENOMINATOR,59,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_007_02_NUMERATOR,59,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_007_02_OBS_RATE,100,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_013_02_DENOMINATOR,59,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_013_02_NUMERATOR,1,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_013_02_OBS_RATE,1.7,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_022_04_DENOMINATOR,44,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_022_04_OBS_CHG_SFCR_SCORE,7.8,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_022_04_ADJ_CHG_SFCR_SCORE,7,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_023_04_DENOMINATOR,44,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_023_04_OBS_CHG_MOBL_SCORE,17.4,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_023_04_ADJ_CHG_MOBL_SCORE,18.4,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_024_04_DENOMINATOR,44,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_024_04_NUMERATOR,17,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_024_04_OBS_RATE,38.6,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_025_04_DENOMINATOR,44,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_025_04_NUMERATOR,23,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_025_04_OBS_RATE,52.3,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_038_02_DENOMINATOR,59,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_038_02_NUMERATOR,0,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_038_02_OBS_RATE,0,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_038_02_ADJ_RATE,0,-,01/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_039_01_HAI_NUMBER,2,-,10/01/2021,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_039_01_HAI_VOLUME,47,-,10/01/2021,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_039_01_HAI_OBS_RATE,4.26,-,10/01/2021,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_039_01_HAI_RS_RATE,6.17,-,10/01/2021,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_039_01_HAI_RS_RATE_2_5,3.39,-,10/01/2021,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_039_01_HAI_RS_RATE_97_5,11.01,-,10/01/2021,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_039_01_HAI_COMP_PERF,No Different than the National Rate,-,10/01/2021,09/30/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_040_01_DENOMINATOR,80,-,10/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_040_01_NUMERATOR,70,-,10/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_040_01_OBS_RATE,87.5,-,10/01/2022,12/31/2022,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_041_01_DENOMINATOR,92,-,10/01/2022,03/31/2023,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_041_01_NUMERATOR,28,-,10/01/2022,03/31/2023,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Franklin,(256)332-4110,4,S_041_01_OBS_RATE,30.4,-,10/01/2022,03/31/2023,-,"701 MONROE STREET NW, RUSSELLVILLE, AL, 35653"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_001_03_DENOMINATOR,84,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_001_03_NUMERATOR,83,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_001_03_OBS_RATE,98.8,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_004_01_PPR_PD_COMP_PERF,No Different than the National Rate,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_004_01_PPR_PD_OBS,5.93,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_004_01_PPR_PD_OBS_READM,8,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_004_01_PPR_PD_RSRR,8.87,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_004_01_PPR_PD_RSRR_2_5,6.23,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_004_01_PPR_PD_RSRR_97_5,12.43,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_004_01_PPR_PD_VOLUME,135,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_005_02_DTC_COMP_PERF,No Different than the National Rate,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_005_02_DTC_NUMBER,56,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_005_02_DTC_OBS_RATE,54.37,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_005_02_DTC_RS_RATE,52.31,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_005_02_DTC_RS_RATE_2_5,42.85,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_005_02_DTC_RS_RATE_97_5,61.14,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_005_02_DTC_VOLUME,103,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_006_01_MSPB_NUMB,118,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_006_01_MSPB_SCORE,0.71,-,10/01/2020,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_007_02_DENOMINATOR,80,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_007_02_NUMERATOR,75,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_007_02_OBS_RATE,93.8,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_013_02_DENOMINATOR,80,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_013_02_NUMERATOR,0,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_013_02_OBS_RATE,0,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_022_04_DENOMINATOR,51,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_022_04_OBS_CHG_SFCR_SCORE,3.6,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_022_04_ADJ_CHG_SFCR_SCORE,2.7,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_023_04_DENOMINATOR,51,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_023_04_OBS_CHG_MOBL_SCORE,17.7,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_023_04_ADJ_CHG_MOBL_SCORE,12.6,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_024_04_DENOMINATOR,51,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_024_04_NUMERATOR,5,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_024_04_OBS_RATE,9.8,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_025_04_DENOMINATOR,51,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_025_04_NUMERATOR,13,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_025_04_OBS_RATE,25.5,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_038_02_DENOMINATOR,80,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_038_02_NUMERATOR,0,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_038_02_OBS_RATE,0,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_038_02_ADJ_RATE,0,-,01/01/2022,12/31/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_039_01_HAI_NUMBER,4,-,10/01/2021,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_039_01_HAI_VOLUME,78,-,10/01/2021,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_039_01_HAI_OBS_RATE,5.13,-,10/01/2021,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_039_01_HAI_RS_RATE,6.51,-,10/01/2021,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_039_01_HAI_RS_RATE_2_5,3.75,-,10/01/2021,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,Talladega,(256)249-5604,4,S_039_01_HAI_RS_RATE_97_5,10.84,-,10/01/2021,09/30/2022,-,"260 WEST WALNUT STREET, SYLACAUGA, AL, 35150"
