Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,County,Submitted Data,Passed Quality Assurance Check,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Residents Hospitalizations with Confirmed COVID-19,Residents Hospitalizations with Confirmed COVID-19 and Up to Date with Vaccines,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents","Number of Residents who are Up to Date on COVID-19 Vaccinations, 14 Days or More Before Positive Test",Number of Residents Staying in this Facility for At Least 1 Day This Week,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who Received a Completed COVID-19 Vaccination at Any Time,Recent Percentage of Current Healthcare Personnel who Received a Completed COVID-19 Vaccination at Any Time,Percentage of Current Healthcare Personnel who Received a Completed COVID-19 Vaccination at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Residents Up to Date with COVID-19 Vaccines,Percentage of Current Residents Up to Date with COVID-19 Vaccines,Number of Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines,Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines
08/02/2020,15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,05/02/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,2,64,0,11,180,148,0,0,0,90,0,0,972.97,74.32,,,,,,,,
05/09/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,1,65,0,11,180,153,0,0,0,90,0,0,941.18,71.9,,,,,,,,,,,,
05/16/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,0,65,0,11,180,158,0,0,1,91,0,0,911.39,69.62,,,,,,,,,,,,
05/23/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,0,65,0,11,180,159,0,0,0,91,0,0,905.66,69.18,,,,,,,,,,,,
05/30/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,0,65,0,11,180,158,0,0,0,91,0,0,911.39,69.62,,,,,,,,,,,,
06/06/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,0,65,0,11,180,164,0,0,0,91,0,0,878.05,67.07,,,,,,,,,,,,
06/13/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,1,66,0,11,180,174,0,0,0,91,0,0,827.59,63.22,,180,237,86,,36.287,,,0,,,0
06/20/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,1,67,0,11,180,177,0,0,0,91,0,0,813.56,62.15,,180,237,86,,36.287,,,0,,,0
06/27/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,0,67,0,11,180,180,0,0,0,91,0,0,800,61.11,,180,245,86,,35.102,,,0,,,0
07/04/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,1,68,0,11,180,178,0,0,0,91,0,0,808.99,61.8,,180,245,86,,35.102,,,0,,,0
07/11/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,0,68,0,11,180,177,0,0,0,91,0,0,813.56,62.15,,180,237,86,,36.287,,,0,,,0
07/18/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,144,1,69,0,11,180,169,0,0,0,91,0,0,852.07,65.09,,180,245,86,,35.102,,,0,,,0
07/25/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,2,146,2,71,0,11,180,171,0,0,1,92,11.7,0,853.8,64.33,,180,245,86,,35.102,,,0,,,0
08/01/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,4,150,2,73,0,11,180,174,0,0,4,96,22.99,0,862.07,63.22,,180,245,86,,35.102,,,0,,,0
08/08/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,150,0,73,0,11,180,179,0,0,3,99,0,0,837.99,61.45,,180,245,95,,38.776,,,0,,,0
08/15/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,150,1,74,0,11,180,180,0,0,3,102,0,0,833.33,61.11,,180,240,86,,35.833,,,0,,,0
08/22/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,1,151,2,76,0,11,180,176,0,0,3,105,5.68,0,857.95,62.5,,180,240,87,,36.25,,,0,,,0
08/29/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,151,1,77,0,11,180,178,0,0,3,108,0,0,848.31,61.8,,180,245,95,,38.776,,,0,,,0
09/05/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,1,152,1,78,0,11,180,179,0,0,2,110,5.59,0,849.16,61.45,,180,245,96,,39.184,,,0,,,0
09/12/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,11,163,0,78,0,11,180,176,0,0,4,114,62.5,0,926.14,62.5,,180,228,92,,40.351,,,0,,,0
09/19/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,4,167,0,78,0,11,180,175,0,0,2,116,22.86,0,954.29,62.86,,180,162,98,,60.494,,,0,,,0
09/26/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,2,169,0,78,0,11,180,176,0,0,1,117,11.36,0,960.23,62.5,,180,170,98,,57.647,,,0,,,0
10/03/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,6,175,1,79,0,11,180,174,0,0,1,118,34.48,0,1005.75,63.22,,174,167,102,,61.078,,,0,,,0
10/10/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,7,182,0,79,0,11,180,169,0,0,3,121,41.42,0,1076.92,65.09,,178,216,98,,45.37,,,0,,,0
10/17/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,1,183,1,80,0,11,180,167,0,0,1,122,5.99,0,1095.81,65.87,,167,219,104,,47.489,,,0,,,0
10/24/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,1,81,0,11,180,164,0,0,0,122,0,0,1115.85,67.07,,164,204,106,,51.961,,,0,,,0
10/31/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,0,81,0,11,180,168,0,0,0,122,0,0,1089.29,65.48,,168,204,106,,51.961,,,0,,,0
11/07/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,0,81,0,11,180,177,0,0,0,122,0,0,1033.9,62.15,,180,204,106,,51.961,,,0,,,0
11/14/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,0,81,0,11,180,171,0,0,0,122,0,0,1070.18,64.33,,176,204,100,,49.02,,,0,,,0
11/21/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,2,83,0,11,180,172,0,0,0,122,0,0,1063.95,63.95,,180,206,146,,70.874,,,0,,,0
11/28/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,0,83,0,11,180,168,0,0,0,122,0,0,1089.29,65.48,,180,206,146,,70.874,,,0,,,0
12/05/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,1,84,0,11,180,163,0,0,0,122,0,0,1122.7,67.48,,180,206,146,,70.874,,,0,,,0
12/12/2021,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,0,84,0,11,180,168,0,0,0,122,0,0,1089.29,65.48,,168,220,143,,65,,,0,,,0
12/19/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,1,85,0,11,180,179,0,0,0,122,0,0,1022.35,61.45,,180,220,143,,65,,,0,,,0
12/26/21,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,1,86,0,11,180,175,0,0,0,122,0,0,1045.71,62.86,,175,214,155,,72.43,,,0,,,0
01/02/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,183,1,87,0,11,180,173,0,0,1,123,0,0,1057.8,63.58,,173,210,151,,71.905,,,0,,,0
01/09/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,5,188,1,88,0,11,180,165,0,0,22,145,30.3,0,1139.39,66.67,,174,223,153,,68.61,,,0,,,0
01/16/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,8,196,3,91,0,11,180,166,0,0,11,156,48.19,0,1180.72,66.27,,170,223,153,,68.61,,,0,,,0
01/23/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,21,217,1,92,0,11,180,173,0,0,8,164,121.39,0,1254.34,63.58,,173,221,153,,69.231,,,0,,,0
01/30/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,9,226,0,92,0,11,180,174,0,0,8,172,51.72,0,1298.85,63.22,,174,207,171,,82.609,,,0,,,0
02/06/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,11,237,2,94,0,11,180,171,0,0,1,173,64.33,0,1385.96,64.33,,171,207,171,,82.609,,,0,,,0
02/13/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,10,247,0,94,0,11,180,175,0,0,0,173,57.14,0,1411.43,62.86,,175,207,171,,82.609,,,0,,,0
02/20/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,1,248,3,97,0,11,180,168,0,0,0,173,5.95,0,1476.19,65.48,,168,212,175,,82.547,,,0,,,0
02/27/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,1,249,1,98,0,11,180,176,0,0,1,174,5.68,0,1414.77,62.5,,176,237,195,,82.278,,,0,,,0
03/06/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,3,101,0,11,180,170,0,0,0,174,0,0,1464.71,64.71,,174,208,169,,81.25,,,0,,,0
03/13/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,102,0,11,180,173,0,0,0,174,0,0,1439.31,63.58,,173,208,169,,81.25,,,0,,,0
03/20/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,103,0,11,180,172,0,0,0,174,0,0,1447.67,63.95,,172,213,173,,81.221,,,0,,,0
03/27/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,104,0,11,180,172,0,0,0,174,0,0,1447.67,63.95,,178,227,178,,78.414,,,0,,,0
04/03/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,105,0,11,180,172,0,0,0,174,0,0,1447.67,63.95,,172,227,178,,78.414,,,0,,,0
04/10/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,106,0,11,180,170,0,0,0,174,0,0,1464.71,64.71,,170,230,178,,77.391,,,0,,,0
04/17/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,2,108,0,11,180,170,0,0,0,174,0,0,1464.71,64.71,,170,230,155,,67.391,,,0,,,0
04/24/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,109,0,11,180,173,0,0,0,174,0,0,1439.31,63.58,,173,230,155,,67.391,,,0,,,0
05/01/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,110,0,11,180,173,0,0,0,174,0,0,1439.31,63.58,,170,205,155,,75.61,,,0,,,0
05/08/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,0,110,0,11,180,165,0,0,0,174,0,0,1509.09,66.67,,165,205,155,,75.61,,,0,,,0
05/15/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,0,110,0,11,180,165,0,0,0,174,0,0,1509.09,66.67,,165,205,148,,72.195,,,0,,,0
05/22/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,0,110,0,11,180,168,0,0,0,174,0,0,1482.14,65.48,,168,202,157,,77.723,,,0,,,0
05/29/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,0,110,0,11,180,168,0,0,2,176,0,0,1482.14,65.48,,168,203,159,,78.325,,,0,,,0
06/05/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,0,110,0,11,180,168,0,0,0,176,0,0,1482.14,65.48,,168,212,175,,82.547,116,,69.048,62,,29.245
06/12/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,0,110,0,11,180,163,0,0,0,176,0,0,1527.61,67.48,,163,207,170,,82.126,113,,69.325,62,,29.952
06/19/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,111,0,11,180,161,0,0,0,176,0,0,1546.58,68.32,,161,211,159,,75.355,99,,61.491,46,,21.801
06/26/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,3,114,0,11,180,167,0,0,0,176,0,0,1491.02,65.87,,167,211,164,,77.725,110,,65.868,43,,20.379
07/03/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,115,0,11,180,173,0,0,0,176,0,0,1439.31,63.58,,173,215,168,,78.14,111,,64.162,45,,20.93
07/10/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,1,116,0,11,180,178,0,0,0,176,0,0,1398.88,61.8,,178,206,167,,81.068,115,,64.607,50,,24.272
07/17/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,2,118,0,11,180,170,0,0,0,176,0,0,1464.71,64.71,,170,215,174,,80.93,117,,68.824,54,,25.116
07/24/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,0,118,0,11,180,168,0,0,1,177,0,0,1482.14,65.48,,168,224,176,,78.571,116,,69.048,49,,21.875
07/31/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,249,0,118,0,11,180,163,0,0,2,179,0,0,1527.61,67.48,,163,218,171,,78.44,115,,70.552,47,,21.56
08/07/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,23,272,1,119,0,11,180,160,0,0,2,181,143.75,0,1700,68.75,16,160,216,169,,78.241,115,,71.875,47,,21.759
08/14/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,20,292,1,120,0,11,180,164,0,0,4,185,121.95,0,1780.49,67.07,9,164,219,178,,81.279,62,,37.805,6,,2.74
08/21/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,292,0,120,0,11,180,165,0,0,0,185,0,0,1769.7,66.67,,165,216,174,,80.556,64,,38.788,5,,2.315
08/28/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,292,1,121,0,11,180,165,0,0,0,185,0,0,1769.7,66.67,,165,216,174,,80.556,62,,37.576,5,,2.315
09/04/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,292,1,122,0,11,180,167,0,0,1,186,0,0,1748.5,65.87,,166,217,170,,78.341,88,,53.012,10,,4.608
09/11/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,2,294,0,122,0,11,180,163,0,0,0,186,12.27,0,1803.68,67.48,0,163,218,171,,78.44,90,,55.215,12,,5.505
09/18/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,11,305,0,122,0,11,180,172,0,0,1,187,63.95,0,1773.26,63.95,6,172,230,180,,78.261,94,,54.651,52,,22.609
09/25/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,305,0,122,0,11,180,171,0,0,0,187,0,0,1783.63,64.33,,171,241,189,,78.423,102,,59.649,20,,8.299
10/02/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,305,0,122,0,11,180,170,0,0,0,187,0,0,1794.12,64.71,,170,257,201,,78.21,111,,65.294,28,,10.895
10/09/2022,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,305,2,124,0,11,180,172,0,0,0,187,0,0,1773.26,63.95,,172,260,202,,77.692,113,,65.698,23,,8.846
10/16/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,305,1,125,0,11,180,174,0,0,0,187,0,0,1752.87,63.22,,174,239,186,,77.824,130,,74.713,25,,10.46
10/23/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,305,0,125,0,11,180,169,0,0,0,187,0,0,1804.73,65.09,,169,236,180,,76.271,125,,73.964,27,,11.441
10/30/22,105423,"TERRACE OF JACKSONVILLE, THE",10680 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,9042684953,Duval,Y,Y,0,305,0,125,0,11,180,172,0,0,0,187,0,0,1773.26,63.95,,172,228,178,,78.07,129,,75,24,,10.526
